name,description,link
Thou Shalt Comply,AI Agent that autonomously engages businesses you work with in order to obtain the right documents based on contractual requirements.,https://devpost.com/software/thou-shalt-comply
Fuego,generate a screen for your shopify mobile app with AI,https://devpost.com/software/fuego-2smvq7
Careline,"Careline is a phone companion that is accessible 24/7. You can call Careline and talk with a personalised companion. You can talk openly about life, play games, and get mentorship.",https://devpost.com/software/careline
EchoBridge,"EchoBridge distills large policy documents and information into relatable narratives, fostering mutual understanding across political ideologies.",https://devpost.com/software/tbd-c91an5
ProtoPRO,A tool for non-technical software creators to create custom working apps in minutes.,https://devpost.com/software/protopro
ChatClaude,"Chat with Claude (""ChatGPT"" but with Anthropic's Claude 100,000 token context window)",https://devpost.com/software/chatclaude
Great Party Tool (GPT),Plan the most fun party in just a couple of clicks! With a short intake form service helping you brainstorm a theme and plan all the logistics easily.,https://devpost.com/software/great-party-tool
Ubiquitous - AGI in Spatial Computing,"Synthesize AGI from anything in reality, everywhere you go... with cute Notion UI widgets in AR!",https://devpost.com/software/ubiquitous
ai-and-chill,"Tinder meets Netflix, powered by AI",https://devpost.com/software/ai-and-chill
Minsky,Upload your writing and health data. Simulate your brain.,https://devpost.com/software/minsky
Artspark Merch,We're trying to make it easy for people to create merchandise stores with generative AI. We made a fan merch generator for Vulfpeck where you can create remixes of their album covers.,https://devpost.com/software/artspark
ArxivGen,"We are building Generative Research: arxivgen.com!We generate new knowledge by implementing simple creativity generators by combining existing ideas, questioning assumptions, etc. and create papers.",https://devpost.com/software/arxivgen
Mass Produced AI Video,Go from 1 sentence prompts to voiced & animated YouTube videos.,https://devpost.com/software/mass-produced-ai-video
ContentGenius,"ContentGenius, the ultimate AI assistant designed to revolutionize your business's content creation process.",https://devpost.com/software/contentgenius
Asml8,On-mobile AI-assisted learning and reinforcement for better knowledge assimilation.,https://devpost.com/software/asml8
SnailMail,"Say goodbye to paper clutter. Your mail is now digitized, summarized and searchable with ChatGPT so you can see what matters most.",https://devpost.com/software/snailmail
issuequasher,Bot that fixes your technical debt,https://devpost.com/software/issuequasher
BossAI,"BossAI is made out of my fear of a post-work society where humans struggle to find meaning, we explore if sum of human+AI is greater than individual parts with a new AI boss-human assistant paradigm.",https://devpost.com/software/bossai
On Freud's Couch,Your own psychoanalyst on the go. And how did that make you feel?,https://devpost.com/software/on-freud-s-couch
June Care AI Host recommender,June Care connects families who need childcare with stay-at-home parents who can care for their kids.,https://devpost.com/software/june-care-ai-host-recommender
Digital Health Concierge,The US healthcare system and healthcare recommendations are fare from intuitive for a layman. Our system creates a community which enables trainee healthcare workers to help patients using LLMs.,https://devpost.com/software/digital-health-concierge-en8jbp
QueryThing,A data-analyst-as-a-slackbot.,https://devpost.com/software/querything
Pagewhisperer,We are building the best generative AI assistive tools for legal professionals,https://devpost.com/software/pagewhisperer-qzbavk
speakeasy,AI to help disabled people converse faster face to face,https://devpost.com/software/speakeasy-85r1g4
Power of the Push,Generating attention-grabbing push notifications is challenging since you have limited text to play with as a DTC brand with a shopping app,https://devpost.com/software/power-of-the-push
Synthetic Data Generation,"Small businesses lack sufficient knowledge bases to accurately answer all customer queries, so we have created an AI to role play as their customer to generate likely questions to add to an AI's KB.",https://devpost.com/software/synthetic-data-generation
